2207;1300;220;2333;3;1;3;no_more_commands;6,10,3,1,4,8,9,6,1,2,6,8,2,6,1,2,1,10,6,2,4,9,10,4,2,0,6,3,2,2,4,3,3,10,10,3,0,4,1,1,5,3,10,1,4,2,2,7,5,6,4,4,10,5,1,7,8,2,1,2,4,9,4,10,4,7,4,5,4,7,1,1,10,3,9,6,5,10,0,1,7,2,4,1,5,6,10,2,2,2,0,5,3,0,4,3,8,2,6,2,9,1,2,1,6,4,3,2,2,10,7,8,0,7,3,8,8,1,8,0,8,0,2,9,2,10,5,2,2,4,3,1,5,5,9,4,3,3,2,2,2,0,4,3,3,4,7,3,2,8,2,3,3,1,2,2,2,1,4,6,7,1,7,9,3,4,8,2,7,2,0,5,3,2,3,1,1,2,9,5,2,2,10,10,10,8,10,0,4,2,2,10,2,3,4,5,2,4,1,1,2,2,5,4,2,0,2,7,8,5,2,6,6,8,2,2,3,4,3,0,2,9,2,2,8,2,1,2,5,1,1,10,3,2,2,2,0,1,10,4,2,3,2,10,2,2,1,0,3,2,3,1,10,3,7,6,2,8,2,7,2,2,3,4,9,2,0,8,6,4,7,3,4,1,3,2,6,10,10,9,1,2,7,3,4,4,7,2,4,4,4,10,6,5,6,2,6,2,1,3,2,4,4,3,10,0,2,1,3,10,10,7,1,1,4,9,8,7,4,3
2115;1300;220;2241;3;1;3;no_more_commands;6,10,3,1,4,8,9,6,1,2,6,8,2,6,1,2,1,10,6,2,4,9,10,4,2,0,6,3,2,2,4,3,3,10,10,3,0,4,1,1,5,3,10,1,4,2,2,7,5,6,4,4,10,5,1,7,8,2,1,2,4,9,4,10,4,7,4,5,4,7,1,1,10,3,9,6,5,10,0,1,7,2,4,1,5,6,10,2,2,2,0,5,3,0,4,3,8,2,6,2,9,1,2,1,6,4,3,2,2,10,7,8,0,7,3,8,8,1,8,0,8,0,2,9,2,10,5,2,2,4,3,1,5,5,9,4,3,3,2,2,2,0,4,3,3,4,7,3,2,8,2,3,3,1,2,2,2,1,4,6,7,1,7,9,3,4,8,2,7,2,0,5,3,2,3,1,1,2,9,5,2,2,10,10,10,8,10,0,4,2,2,10,2,3,4,5,2,4,1,1,2,2,5,4,2,0,2,7,8,5,2,6,6,8,2,2,3,4,3,0,2,9,2,2,8,2,1,2,5,1,1,10,3,2,2,2,0,1,10,4,2,3,2,10,2,2,1,0,3,2,3,1,10,3,7,6,2,8,2,7,2,2,3,4,9,2,0,8,6,4,7,3,4,1,3,2,6,10,10,9,2,7,3,3,4,7,7,4,4,4,5,7,2,1,6,1,6,10,1,9,2,2,4,3,2,0,10,1,3,10,10,4,1,1,4,9,8,7,4,3
2060;1300;220;2186;3;1;3;no_more_commands;6,10,3,1,4,8,9,6,1,2,6,8,2,6,1,2,1,10,6,2,4,9,10,4,2,0,6,3,2,2,4,3,3,10,10,3,0,4,1,1,5,3,10,1,4,2,2,7,5,6,4,4,10,5,1,7,8,2,1,2,4,9,4,10,4,7,4,5,4,7,1,1,10,3,9,6,5,10,0,1,7,2,4,1,5,6,10,2,2,2,0,5,3,0,4,3,8,2,6,2,9,1,2,1,6,4,3,2,2,10,7,8,0,7,3,8,8,1,8,0,8,0,2,9,2,10,5,2,2,4,3,1,5,5,9,4,3,3,2,2,2,0,4,3,3,4,7,3,2,8,2,3,3,1,2,2,2,1,4,6,7,1,7,9,3,4,8,2,7,2,0,5,3,2,3,1,1,2,9,5,2,2,10,10,10,8,10,0,4,2,2,10,2,3,4,5,2,4,1,1,2,2,5,4,2,0,2,7,8,5,2,6,6,8,2,2,3,4,3,0,2,9,2,2,8,2,1,2,5,1,1,10,3,2,2,2,0,1,10,4,2,3,2,10,2,2,1,0,3,2,3,1,10,3,7,6,2,8,2,7,2,2,3,4,9,2,0,8,6,4,7,3,4,1,3,2,6,10,10,9,5,2,4,3,2,7,1,8,4,9,10,7,3,1,3,1,6,10,1,9,2,2,3,3,2,0,2,4,3,9,1,4,1,2,10,2,7,7,1,3
2053;1300;220;2179;3;1;3;no_more_commands;6,10,3,1,4,8,9,6,1,2,6,8,2,6,1,2,1,10,6,2,4,9,10,4,2,0,6,3,2,2,4,3,3,10,10,3,0,4,1,1,5,3,10,1,4,2,2,7,5,6,4,4,10,5,1,7,8,2,1,2,4,9,4,10,4,7,4,5,4,7,1,1,10,3,9,6,5,10,0,1,7,2,4,1,5,6,10,2,2,2,0,5,3,0,4,3,8,2,6,2,9,1,2,1,6,4,3,2,2,10,7,8,0,7,3,8,8,1,8,0,8,0,2,9,2,10,5,2,2,4,3,1,5,5,9,4,3,3,2,2,2,0,4,3,3,4,7,3,2,8,2,3,3,1,2,2,2,1,4,6,7,1,7,9,3,4,8,2,7,2,0,5,3,2,3,1,1,2,9,5,2,2,10,10,10,8,10,0,4,2,2,10,2,3,4,5,2,4,1,1,2,2,5,4,2,0,2,7,8,5,2,6,6,8,2,2,3,4,3,0,2,9,2,2,8,2,1,2,5,1,1,10,3,2,2,2,0,1,10,4,2,3,2,10,2,2,1,0,3,2,3,1,10,3,7,6,2,8,2,7,2,2,3,4,9,2,0,8,6,4,7,3,4,1,3,2,6,10,10,9,2,8,3,2,4,7,1,4,1,4,5,7,2,1,6,2,6,10,1,9,2,6,4,3,2,3,10,1,2,10,10,4,1,1,0,10,9,7,2,9
2049;1300;220;2175;3;1;3;no_more_commands;6,10,3,1,4,8,9,6,1,2,6,8,2,6,1,2,1,10,6,2,4,9,10,4,2,0,6,3,2,2,4,3,3,10,10,3,0,4,1,1,5,3,10,1,4,2,2,7,5,6,4,4,10,5,1,7,8,2,1,2,4,9,4,10,4,7,4,5,4,7,1,1,10,3,9,6,5,10,0,1,7,2,4,1,5,6,10,2,2,2,0,5,3,0,4,3,8,2,6,2,9,1,2,1,6,4,3,2,2,10,7,8,0,7,3,8,8,1,8,0,8,0,2,9,2,10,5,2,2,4,3,1,5,5,9,4,3,3,2,2,2,0,4,3,3,4,7,3,2,8,2,3,3,1,2,2,2,1,4,6,7,1,7,9,3,4,8,2,7,2,0,5,3,2,3,1,1,2,9,5,2,2,10,10,10,8,10,0,4,2,2,10,2,3,4,5,2,4,1,1,2,2,5,4,2,0,2,7,8,5,2,6,6,8,2,2,3,4,3,0,2,9,2,2,8,2,1,2,5,1,1,10,3,2,2,2,0,1,10,4,2,3,2,10,2,2,1,0,3,2,3,1,10,3,7,6,2,8,2,7,2,2,3,4,9,2,0,8,6,4,7,3,4,1,3,2,6,10,10,9,2,10,3,3,4,2,7,4,4,4,1,6,10,1,6,8,6,2,1,9,1,0,4,0,2,0,10,1,3,10,10,4,2,1,1,9,8,4,4,3
2047;1300;220;2173;3;1;3;no_more_commands;6,10,3,1,4,8,9,6,1,2,6,8,2,6,1,2,1,10,6,2,4,9,10,4,2,0,6,3,2,2,4,3,3,10,10,3,0,4,1,1,5,3,10,1,4,2,2,7,5,6,4,4,10,5,1,7,8,2,1,2,4,9,4,10,4,7,4,5,4,7,1,1,10,3,9,6,5,10,0,1,7,2,4,1,5,6,10,2,2,2,0,5,3,0,4,3,8,2,6,2,9,1,2,1,6,4,3,2,2,10,7,8,0,7,3,8,8,1,8,0,8,0,2,9,2,10,5,2,2,4,3,1,5,5,9,4,3,3,2,2,2,0,4,3,3,4,7,3,2,8,2,3,3,1,2,2,2,1,4,6,7,1,7,9,3,4,8,2,7,2,0,5,3,2,3,1,1,2,9,5,2,2,10,10,10,8,10,0,4,2,2,10,2,3,4,5,2,4,1,1,2,2,5,4,2,0,2,7,8,5,2,6,6,8,2,2,3,4,3,0,2,9,2,2,8,2,1,2,5,1,1,10,3,2,2,2,0,1,10,4,2,3,2,10,2,2,1,0,3,2,3,1,10,3,7,6,2,8,2,7,2,2,3,4,9,2,0,8,6,4,7,3,4,1,3,2,6,10,10,9,3,7,3,10,2,7,7,2,4,3,7,9,3,1,6,1,2,10,1,6,6,6,4,3,10,2,10,4,3,3,10,4,1,1,4,9,8,7,4,3
2046;1300;220;2172;3;1;3;no_more_commands;6,10,3,1,4,8,9,6,1,2,6,8,2,6,1,2,1,10,6,2,4,9,10,4,2,0,6,3,2,2,4,3,3,10,10,3,0,4,1,1,5,3,10,1,4,2,2,7,5,6,4,4,10,5,1,7,8,2,1,2,4,9,4,10,4,7,4,5,4,7,1,1,10,3,9,6,5,10,0,1,7,2,4,1,5,6,10,2,2,2,0,5,3,0,4,3,8,2,6,2,9,1,2,1,6,4,3,2,2,10,7,8,0,7,3,8,8,1,8,0,8,0,2,9,2,10,5,2,2,4,3,1,5,5,9,4,3,3,2,2,2,0,4,3,3,4,7,3,2,8,2,3,3,1,2,2,2,1,4,6,7,1,7,9,3,4,8,2,7,2,0,5,3,2,3,1,1,2,9,5,2,2,10,10,10,8,10,0,4,2,2,10,2,3,4,5,2,4,1,1,2,2,5,4,2,0,2,7,8,5,2,6,6,8,2,2,3,4,3,0,2,9,2,2,8,2,1,2,5,1,1,10,3,2,2,2,0,1,10,4,2,3,2,10,2,2,1,0,3,2,3,1,10,3,7,6,2,8,2,7,2,2,3,4,9,2,0,8,6,4,7,3,4,1,3,2,6,10,10,9,5,1,3,3,10,7,1,4,4,8,5,7,2,1,10,1,6,10,1,2,3,1,4,3,4,0,6,1,3,1,10,4,1,2,1,9,8,7,10,3
2044;1300;220;2170;3;1;3;no_more_commands;6,10,3,1,4,8,9,6,1,2,6,8,2,6,1,2,1,10,6,2,4,9,10,4,2,0,6,3,2,2,4,3,3,10,10,3,0,4,1,1,5,3,10,1,4,2,2,7,5,6,4,4,10,5,1,7,8,2,1,2,4,9,4,10,4,7,4,5,4,7,1,1,10,3,9,6,5,10,0,1,7,2,4,1,5,6,10,2,2,2,0,5,3,0,4,3,8,2,6,2,9,1,2,1,6,4,3,2,2,10,7,8,0,7,3,8,8,1,8,0,8,0,2,9,2,10,5,2,2,4,3,1,5,5,9,4,3,3,2,2,2,0,4,3,3,4,7,3,2,8,2,3,3,1,2,2,2,1,4,6,7,1,7,9,3,4,8,2,7,2,0,5,3,2,3,1,1,2,9,5,2,2,10,10,10,8,10,0,4,2,2,10,2,3,4,5,2,4,1,1,2,2,5,4,2,0,2,7,8,5,2,6,6,8,2,2,3,4,3,0,2,9,2,2,8,2,1,2,5,1,1,10,3,2,2,2,0,1,10,4,2,3,2,10,2,2,1,0,3,2,3,1,10,3,7,6,2,8,2,7,2,2,3,4,9,2,0,8,6,4,7,3,4,1,3,2,6,10,10,9,3,7,2,3,4,6,2,4,3,4,4,7,2,1,6,1,6,7,1,9,3,2,4,3,10,2,10,1,4,10,10,3,1,4,2,9,8,7,7,3
2043;1300;220;2169;3;1;3;no_more_commands;6,10,3,1,4,8,9,6,1,2,6,8,2,6,1,2,1,10,6,2,4,9,10,4,2,0,6,3,2,2,4,3,3,10,10,3,0,4,1,1,5,3,10,1,4,2,2,7,5,6,4,4,10,5,1,7,8,2,1,2,4,9,4,10,4,7,4,5,4,7,1,1,10,3,9,6,5,10,0,1,7,2,4,1,5,6,10,2,2,2,0,5,3,0,4,3,8,2,6,2,9,1,2,1,6,4,3,2,2,10,7,8,0,7,3,8,8,1,8,0,8,0,2,9,2,10,5,2,2,4,3,1,5,5,9,4,3,3,2,2,2,0,4,3,3,4,7,3,2,8,2,3,3,1,2,2,2,1,4,6,7,1,7,9,3,4,8,2,7,2,0,5,3,2,3,1,1,2,9,5,2,2,10,10,10,8,10,0,4,2,2,10,2,3,4,5,2,4,1,1,2,2,5,4,2,0,2,7,8,5,2,6,6,8,2,2,3,4,3,0,2,9,2,2,8,2,1,2,5,1,1,10,3,2,2,2,0,1,10,4,2,3,2,10,2,2,1,0,3,2,3,1,10,3,7,6,2,8,2,7,2,2,3,4,9,2,0,8,6,4,7,3,4,1,3,2,6,10,10,9,3,2,0,10,4,3,2,4,2,4,4,7,7,1,6,1,6,0,3,9,1,2,2,2,10,2,10,1,8,10,2,4,9,10,2,9,8,7,8,3
2038;1300;220;2164;3;1;3;no_more_commands;6,10,3,1,4,8,9,6,1,2,6,8,2,6,1,2,1,10,6,2,4,9,10,4,2,0,6,3,2,2,4,3,3,10,10,3,0,4,1,1,5,3,10,1,4,2,2,7,5,6,4,4,10,5,1,7,8,2,1,2,4,9,4,10,4,7,4,5,4,7,1,1,10,3,9,6,5,10,0,1,7,2,4,1,5,6,10,2,2,2,0,5,3,0,4,3,8,2,6,2,9,1,2,1,6,4,3,2,2,10,7,8,0,7,3,8,8,1,8,0,8,0,2,9,2,10,5,2,2,4,3,1,5,5,9,4,3,3,2,2,2,0,4,3,3,4,7,3,2,8,2,3,3,1,2,2,2,1,4,6,7,1,7,9,3,4,8,2,7,2,0,5,3,2,3,1,1,2,9,5,2,2,10,10,10,8,10,0,4,2,2,10,2,3,4,5,2,4,1,1,2,2,5,4,2,0,2,7,8,5,2,6,6,8,2,2,3,4,3,0,2,9,2,2,8,2,1,2,5,1,1,10,3,2,2,2,0,1,10,4,2,3,2,10,2,2,1,0,3,2,3,1,10,3,7,6,2,8,2,7,2,2,3,4,9,2,0,8,6,4,7,3,4,1,3,2,6,10,10,9,3,2,5,7,4,4,2,4,1,4,4,7,7,0,5,1,3,0,3,3,10,2,2,2,3,2,7,10,2,10,4,4,2,10,2,9,8,7,8,6
